Ban;Harga;Terjual
Maxxis M 6167 H 70/90 - 14;165;78
Maxxis M 6167 H 80/90 - 14;185;75
Maxxis M 6167 H 90/90 - 14;230;70
Maxxis M 6212 H 80/90 - 14;185;76
Maxxis M 6239 H 80/90 - 14;200;73
Maxxis M 6240 H 90/90 - 14;235;69
Maxxis Victra S98 St 110/70 -14;390;55
Maxxis Victra S98 St 110/80 -14;400;54
Maxxis Victra S98 St 120/70 -14;450;50
Maxxis Victra S98 St 130/70 -14;490;47
Maxxis Victra S98 St 140/70 -14;540;44
Fdr Flemmo 70/90 - 14;165;79
Fdr Flemmo 80/90 - 14;175;77
Fdr Flemmo 90/90 - 14;205;72
Irc Nr - 73 80/90 - 14;225;71
Irc Nr - 73 90/90 - 14;225;70
Irc Nr - 84 100/70 - 14;225;70
Federal Katana Sb - 132 90/90 - 14;190;74
Federal Samurai Sb - 128 90/90 - 14;190;73
Maxxis M 922 F 100/90 -12;265;66
Maxxis M 922 R 110/90 -12;310;62
Maxxis Ma - R1 110/70 -12;485;48
Maxxis Ma - R1 120/70 -12;570;42
Maxxis Victra 110/70 -12;375;56
Maxxis Victra 120/70 -12;400;53
Pirelli D R Scooter Sc 100/90 -12;500;46
Pirelli D R Scooter Sc 120/80 -12;600;40
Pirelli D R Scooter 110/70 -12;535;44
Pirelli D R Scooter 120/70 -12;585;41
Pirelli D R Scooter 130/70 -12;630;39
Swallow Razor Xp 100/90 -12;260;67
Swallow Sb - 148 110/90 -12;285;65
Federal K93 100/90 -12;235;69
Federal K93 110/90 -12;275;66
Maxxis  Victra S98 St 110/70 -13;340;60
Maxxis  Victra S98 St 120/70 -13;365;58
Maxxis  Victra S98 St 130/70 -13;430;52
Maxxis  Victra S98 St 140/70 -13;465;49
Maxxis  Victra S98 St 150/60 -13;680;36
Maxxis Victra Ct 110/70 -13;350;59
Maxxis Victra Ct 130/70 -13;450;51
Maxxis Ma - R1 120/70 -13;570;43
Maxxis Ma - R1 140/70 -13;700;35
Maxxis Ma - Wgr 110/70 -13;475;48
Maxxis Ma - Wgr 130/70 -13;600;41
Adx Poljose 110/70 -13;350;60
Adx Poljose 130/70 -13;450;50
Pirelli Angle Scooter 120/70 -13;535;45
Pirelli Diablo Rosso Scooter 110/70 -13;465;49
Pirelli  Diablo Rosso Scooter 120/70 -13;525;46
Pirelli  Diablo Rosso Scooter 130/70 -13;680;36
Pirelli  Diablo Rosso Scooter 140/70 -13;725;34
Swallow Slash 110/70 -13;290;64
Swallow Slash 130/70 -13;350;59
Maxxis Ma-R1 90/80 -17;500;47
Maxxis Extramaxx M 6233 F 90/80 -17;375;56
Maxxis Extramaxx M 6233 F 100/80 -17;415;53
Maxxis Extramaxx M 6233 F 110/70 -17;490;48
Maxxis Extramaxx M 6234 R 120/70 -17;560;43
Maxxis Extramaxx M 6234 R 130/70 -17;615;40
Maxxis Extramaxx M 6234 R 140/70 -17;690;36
Maxxis Extramaxx M 6234 R 150/60 -17;750;33
Maxxis Extramaxx M 6234 R 160/60 -17;875;28
Fdr Mp 27 90/80 -17;440;52
Fdr Mp 57 90/80 -17;440;52
Fdr Blaze 80/80 -17;245;68
Fdr Blaze 90/80 -17;300;63
Fdr Blaze 100/70 -17;365;58
Fdr Blaze 110/70 -17;400;54
Fdr Blaze 120/70 -17;460;50
Fdr Blaze 130/70 -17;520;46
Irc Fasti 2 90/80 -17;480;49
Irc Fasti Pro 90/80 -17;480;48
Irc Mbr 110 90/80 -17;375;57
Irc Mbr 110 110/70 -17;450;51
Irc Eat My Dust Biru 60/80 -17;450;50
Irc Eat My Dust Bening 60/80 -17;650;38
Irc Nr 92 70/90 -17;235;69
Irc Nr 92 80/90 -17;280;65
Irc Rx-01 R 130/70 -17;550;44
Irc Rx-01 R 140/70 -17;585;41
Irc Rx-02 R 130/70 -17;565;42
Pirelli Diablo Rosso Corsa Ii 90/80 -17;450;51
Pirelli Diablo Rosso Corsa Ii 100/80 -17;520;46
Pirelli Diablo Rosso Corsa Ii 110/70 -17;565;42
Swallow Pro Racer 90/80 -17;320;61
Swallow Slash Sb - 151 80/80 -17;270;66
Swallow Slash Sb - 151 90/80 -17;300;63
Swallow Slash Sb - 151 100/80 -17;360;58
Swallow Slash Sb - 151 110/70 -17;385;55
Swallow Razor Xp Sb - 148 90/80 - 17;320;61
Swallow Razor Xp Sb - 148 100/80 -17;385;55
Swallow Razor Xp Sb - 148 110/70 -17;400;54
Swallow Street Enduro Sb - 117 90/90 - 17;300;63
Swallow Street Enduro Sb - 117 100/80 -17;360;58
